date,close,high,low,open,volume,tic,day,ret_1d,ret_5d,sma_ratio,vol_20d,vol_ratio,rsi_14,macd_hist,bb_width,obv_ret,adx,adx_di_diff,sma_200_dist,drawdown_60d,vol_regime,ret_20d
2010-10-18,89.76533508300781,90.06131433778684,89.02917947338683,89.35551631713268,141204800,SPY,0,0.40702388862480504,0.5020354478279213,0.8058329729691777,-0.17343987978449651,-0.7420446342692225,1.290457643228747,0.25910357606756673,-0.020744760367735336,-0.05542144182317404,0.14786251762824817,0.5644742122739724,0.07783270206955616,0.634017911420455,-0.6465506166786447,0.578791712257905
2010-10-19,88.58901977539062,89.43900921025319,88.05017974278041,88.93812340615472,280604700,SPY,1,-1.2998353241283371,-0.2542749494642197,0.16691581533026936,-0.06436159989347111,1.2698034912471796,0.2870675134020067,-0.038820921334276406,-0.0383415625012136,0.05860865058221525,-0.0016413478293085628,0.02159203142758563,-0.18550409197710432,0.2861660462771489,-0.4340302025712258,0.29262117222050466
2010-10-20,89.45419311523438,89.88677868907249,88.69527064954512,88.74839499053861,200051800,SPY,2,0.865023578677226,-0.16328330225141524,0.5121701364007315,-0.05165898278684736,0.09688762368506575,0.6839773120089098,-0.0768806087273325,-0.05402421106104129,-0.06377633896676786,-0.0837148347193314,0.21274657263275543,-0.0002457774053341513,0.5420091505775924,-0.42611336092048124,0.6682736333750827
2010-10-21,89.65149688720703,90.38006166274572,88.95328970108055,89.85640916820994,221585500,SPY,3,0.14936628811756025,0.11990392695107413,0.5022419664150978,-0.10790639937714698,0.3920221586639729,0.7684249528854451,-0.09268641848611177,-0.16528894200281946,-0.07849875023013263,-0.1016716296948888,0.4034498549434161,0.037836643836646935,0.6003544638078717,-0.5352327886548444,0.9370582350220107
2010-10-22,89.81844329833984,89.9550495291177,89.55282168019318,89.78808571482065,108212400,SPY,4,0.11685439745187193,0.11149213595022524,0.517444592432693,-0.3095326291786037,-1.1956480793250708,0.8415903909716971,-0.09983512374652263,-0.13218744982876618,-0.05779849443168016,-0.11834579645790629,0.38797058902764703,0.0694467707231692,0.634017911420455,-0.9715343908995723,0.4571401423220929
2010-10-25,90.0840835571289,90.88854521155814,90.01578332266547,90.41801125482095,151145700,SPY,0,0.2205376497355646,0.02039650621959556,0.5641895914242911,-0.3358119577904755,-0.5750655784991505,0.9592932700408074,-0.07989074687047307,-0.1285028691789345,-0.08155683570914542,-0.03171699379820695,0.7991358825888546,0.12276174879563095,0.634017911420455,-1.0297081377154786,0.6566614514850073
2010-10-26,90.09927368164062,90.19034066945036,89.45419076080708,89.6287396808549,158982900,SPY,1,-0.04345244991596167,0.6441084509302144,0.49448360428146776,-0.33578111391331217,-0.42865303592936393,0.9662450200949022,-0.09730061651315791,-0.1253951898839888,-0.1058435396043819,-0.049890062696546084,0.4725554488990091,0.12112042339152825,0.634017911420455,-0.9257698672332856,0.5709012310267849
2010-10-27,89.84122467041016,89.9398882804456,88.99123535390763,89.4693543444403,190024000,SPY,2,-0.3305172303854461,0.056241727477773035,0.29313597713443346,-0.3299405682170721,0.025177175822146396,0.71273276425633,-0.19531484704436627,-0.17399455476692258,0.13479106428639417,-0.14164485392963816,0.19447187654760895,0.05880160620740536,0.5579922594098138,-0.9077754066580587,0.5420256302053189
2010-10-28,89.85640716552734,90.395241337819,89.42382165875135,90.35729290436996,168576000,SPY,3,-0.043417341771883264,-0.03807357379799227,0.21998531099924376,-0.34289166312287395,-0.21112958004478208,0.7210838906659076,-0.27959990773198007,-0.2765503534295706,-0.1052183079167583,-0.17241443660271893,0.3964299106711686,0.05736276331883046,0.5624652821310744,-0.9299043170456949,0.6229800961440601
2010-10-29,89.92469787597656,90.09925254519425,89.60595191317982,89.76532489457819,144305500,SPY,4,0.012525677877421154,-0.08902792642290729,0.18048530122191234,-0.3460845530845299,-0.564205062180456,0.7609227012414431,-0.338907401476013,-0.36716252843591274,-0.13136101519094368,-0.20098619194200817,0.3762061276513489,0.06778023111106378,0.5825848933762983,-0.9363379796466401,0.5344800450299162
2010-11-01,89.95502471923828,90.88091049580188,89.438957521979,90.3648432985426,174074800,SPY,0,-0.027490813754503834,-0.2099000996194275,0.10565606849445684,-0.4036588431150501,-0.11031331076477513,0.7796232127047245,-0.38695845381417404,-0.612964508935523,-0.2650091546502132,-0.138369887751956,0.7158201932212803,0.06869553123609871,0.591519700068262,-1.0638580678045566,0.7375706446629082
2010-11-02,90.66847229003906,90.88096966429644,90.3876688797023,90.6305238488706,158345900,SPY,1,0.691328541033694,0.1482424612156557,0.39035638404527523,-0.6357580320554873,-0.30343174363686526,1.1886008027546304,-0.2772786275682289,-0.6023513212232968,44.38940121606813,-0.08021976744654673,0.6586252450385252,0.21997608256381868,0.634017911420455,-1.6079395049500675,0.42768650935605873
2010-11-03,91.0327377319336,91.08586206725974,89.89435415484337,90.8278312357094,226702800,SPY,2,0.3208771506833814,0.4691785294585427,0.49450803379315694,-0.632897132386872,0.6941990879997664,1.3707118838379493,-0.15181048141809259,-0.5819340856613681,0.32465711130961733,-0.11920583221039786,0.3405156201548564,0.29308201880227025,0.634017911420455,-1.59507529360632,0.5327523023779845
2010-11-04,92.7858657836914,92.83139928051588,91.04793257675516,92.04211919155011,215039400,SPY,3,1.7635174178723891,1.3628644411602162,1.2283321480123834,-0.41469783958963,0.46940475891130173,2.0228691495147033,0.2642437101613207,-0.35829877686919076,0.1142508266886542,0.021121083762511737,1.1208420096322986,0.6667419705170557,0.634017911420455,-0.9559633428986928,1.0594393699478917
2010-11-05,93.13494110107422,93.28672323772392,92.72512238397924,92.8465469352755,180654100,SPY,4,0.2967023266613032,1.5060123837791526,1.2801289477530922,-0.41995157312258125,-0.054444217044283955,2.121028664905351,0.546408198376098,-0.14042115899410712,0.051953987912835876,0.18714723856272292,1.2996853173395646,0.7295573645153415,0.634017911420455,-0.9512921634774413,1.0112621842745595
2010-11-08,92.96038055419922,93.11216847136753,92.54297680974965,92.84654106385224,156107100,SPY,0,-0.23682763637171156,1.4002023799710328,1.0844940657251148,-0.4081667182171561,-0.4603486157779604,1.9213113675576459,0.6267406516736802,-0.017185710749122222,-0.06951315797329156,0.3081505842737378,1.1448374313819323,0.678307442036166,0.5842656651319248,-0.9194835950849123,0.9375465744948338
2010-11-09,92.29253387451172,93.30948689470571,91.92066359893064,93.21082908815646,186621600,SPY,1,-0.7394516052948527,0.6840451430402957,0.6746806469157182,-0.3492344404779486,-0.0076709006437624995,1.2027260249766005,0.4743935265669987,0.015543284931964566,-0.09345756432712353,0.3119141380287841,0.7056087312643673,0.519527726426824,0.39391983335252134,-0.797151118211787,0.6702088231821258
2010-11-10,92.66441345214844,92.70995272830328,91.57156925643385,92.26977639621884,221387400,SPY,2,0.3219944450375162,0.6845981498189778,0.7759932451346736,-0.3693122873216401,0.487369896418744,1.3574736898297166,0.3899962332080326,0.0907104913719758,0.10143684086037406,0.25845636945036654,0.46137917362458103,0.5884235359075272,0.4999108185291755,-0.8172174613958254,0.5741060916660613
2010-11-11,92.3153076171875,92.45191386206474,91.58674290788142,91.86754624182842,158017600,SPY,3,-0.4160276944465065,-0.37805345899332476,0.5296162916553291,-0.37031362331346707,-0.413670190498668,1.000583417745839,0.2092463824707358,0.10021588666230169,-0.07912645800817474,0.20881701291326538,0.4139391823905269,0.49889877920633335,0.40041067492469223,-0.82893233891791,0.577562324020937
2010-11-12,91.22248077392578,92.09524279345932,90.8050768794491,91.69301480109564,239068800,SPY,4,-1.1799653260277436,-1.0926118499244706,-0.04276440076044225,-0.2587165329349618,0.811333781025066,0.041663285714769446,-0.18229256789080894,0.06238818987580063,-0.13658353447542507,0.038229003979743006,-0.028345328655721,0.24724544120234732,0.08893943339835103,-0.49356803702168417,0.22084175941913964
2010-11-15,91.09345245361328,91.86755652460263,91.055509808639,91.51086207915836,163940800,SPY,0,-0.19330040847434254,-1.0717593139100758,-0.13689430314425674,-0.26518690690210095,-0.336543453147188,-0.0591698911273062,-0.48541033715452775,0.039448775431968695,-0.17225274388150513,-0.12017414717281376,-0.037617228429132364,0.20796512883994664,0.05216452128158238,-0.5045978512227195,0.06058504327964887
2010-11-16,89.67425537109375,90.68361755783503,89.24166413233961,90.53183542467436,299566200,SPY,1,-1.534134421738022,-1.4546795339996816,-0.8451142917691203,-0.2206417782980752,1.6728582514424184,-1.0103589373321615,-1.000043910924582,-0.04128362083069037,-0.7538578424033066,-0.1355187293164496,-0.917647357210633,-0.11007765417991695,-0.35232689470851575,-0.4832476730147563,-0.0027020250051620056
2010-11-17,89.71980285644531,90.0916731938124,89.4465903420194,89.71221201156733,172308900,SPY,2,-0.011335227993738093,-1.6121585379809196,-0.829520881443264,-0.27325726972954106,-0.2050156591661716,-0.9787755450626947,-1.290203314547418,-0.056890884759444114,-0.22984174977851637,-0.14976726987839725,-0.8878196560711709,-0.10879858004296082,-0.33934521156417397,-0.5228919521623651,-0.23347562647526796
2010-11-18,91.04034423828124,91.36668115145682,90.57740104075036,90.58499188713658,197723700,SPY,3,1.3338006100566384,-0.7819180442381922,-0.22833158798983882,-0.15651989393126456,0.19602044627930373,-0.1632027250956811,-1.1390014351262836,-0.09627281594640227,-1.73426086078078,-0.339464484829477,-0.2138223681599512,0.16604253296188956,0.03702792222500279,-0.2842641534441621,0.0778958636309388
2010-11-19,91.29074096679688,91.32868359808587,90.50146128052178,90.99476180820824,156852900,SPY,4,0.20093112623874512,-0.10911645070496183,-0.14352668999652307,-0.15504642611308833,-0.4528603120489757,-0.029157364615320244,-0.9702726616981857,-0.1299663793240813,0.2033580685512551,-0.5062700029628805,-0.24986840899130736,0.2072474155631477,0.10839456222455188,-0.25203159113511103,0.10028210950896416
2010-11-22,91.21485900878906,91.25280164386118,90.13718510866266,90.83539791736736,181361000,SPY,0,-0.13809402516847366,-0.08210656469630374,-0.20708241966837335,-0.15638097631334144,-0.10900479866913491,-0.0835976632439715,-0.8591142945791574,-0.15481789635887164,-0.15585312719012484,-0.6157882171780901,-0.42190060118528716,0.1767720264145099,0.08676712159580437,-0.1937038287470358,0.004812662318320988
2010-11-23,89.89434814453125,90.32693364329825,89.54524456571208,90.13720305980188,222309000,SPY,1,-1.4297609201885995,-0.03027647617364198,-0.8354021092501609,-0.039921372727206826,0.4423726994823617,-0.9245764963921508,-1.0608553450543776,-0.14387464977538622,-0.39272608932443176,-0.6481431206501922,-0.6750365922867404,-0.12181651037365857,-0.28959731424822094,0.10367692651598007,-0.3638602875992855
2010-11-24,91.22248077392578,91.2452533122739,90.44838238354346,90.46355828565646,140046100,SPY,2,1.3390889090735603,0.6302772605612132,-0.23163709154250015,0.05778794056970256,-0.7278066774255084,-0.1881041819873317,-0.8516987779422892,-0.18573478151771364,-0.46193355313919493,-0.8021918995497626,-0.21341803071690504,0.15425182039807778,0.08893943339835103,0.28676153629935,0.07498137647442302
