date,close,high,low,open,volume,tic,day,ret_1d,ret_5d,rsi_14,sma_ratio,vol_20d,vol_ratio
2010-02-02,37.88654327392578,37.999375951931334,37.34840444077118,37.6087956940451,110727700,QQQ,1,0.7862050760888786,-0.8603448929347294,-1.9150083270937195,-1.7456750898632587,0.6214393134879419,-0.39947522300630967
2010-02-03,38.0948371887207,38.164275711646425,37.68689414405963,37.70425377479107,93581600,QQQ,2,0.45659055605099746,-0.9669016750503441,-1.6537427353848615,-1.4002621951079848,0.6427393921795262,-0.7956130704180171
2010-02-04,36.992523193359375,37.89520406977719,36.992523193359375,37.81708739179852,151652500,QQQ,3,-2.7698111849335443,-1.1142937447101282,-2.351670874904014,-2.4526843492822725,0.8556153904954417,0.38180724879327566
2010-02-05,37.30500411987305,37.339723392428645,36.5585563149881,37.08801363291868,213618600,QQQ,4,0.7329357840278412,0.06134791891667901,-1.9858766774762548,-1.96121339267381,0.8953468297027977,1.4635649902744876
2010-02-08,37.03593063354492,37.478593032207456,37.00989283751008,37.24424293485877,94354400,QQQ,0,-0.7343761869697286,-0.7625964823462806,-2.1449819728724853,-2.0807232980516597,0.853482904628442,-0.9221221616107274
2010-02-09,37.41783142089844,37.76501413288722,37.11404282302054,37.47858847827175,118956000,QQQ,1,0.9076358110762534,-0.7048575017560367,-1.704590879022836,-1.5036928233901679,0.9157325537013334,-0.4437833355924597
2010-02-10,37.339717864990234,37.59142758723934,37.10536777644917,37.417834561170594,94102900,QQQ,2,-0.2541531634848198,-1.0444262640983277,-1.7579132787854914,-1.460992692405756,0.8899743325748856,-0.9389466394037981
2010-02-11,37.90389633178711,38.00805414851927,37.11405109880106,37.34840121993038,93050800,QQQ,3,1.3571738722177724,0.9818197919701013,-1.1397374608050856,-0.7003818046953681,0.9172092354678922,-0.9547863592968139
2010-02-12,37.98200607299805,38.08616387062786,37.461230328894715,37.5653848155131,93938500,QQQ,4,0.13453932693511092,0.686081210379067,-1.0590391834697388,-0.4851935000410975,0.9203479347499754,-0.9495295913971634
2010-02-16,38.46807098388672,38.494108781255136,38.06012783305153,38.25976198291564,83861400,QQQ,1,1.1405338740447848,1.6213518159140639,-0.5789272597577486,0.13784581778525334,0.9613548806483028,-1.1227736034993092
2010-02-17,38.6850700378418,38.6850700378418,38.41600059831513,38.64167259559881,82691700,QQQ,2,0.47000663860284536,1.4025100210880044,-0.3799789712444759,0.4833175269118217,0.879955558234871,-1.1451971228485363
2010-02-18,38.92808151245117,38.997520038792246,38.58089881377934,38.65901550040746,65752600,QQQ,3,0.5300460287591047,1.7976954787553874,-0.16256162668694316,0.8119994415091328,0.8484341814687105,-1.4457469660386548
2010-02-19,38.91071701049805,39.10166629576459,38.728442572683406,38.82391887082191,80416500,QQQ,4,-0.10034374031979297,1.0695885470948712,-0.18181138447745357,0.8255715426564278,0.8257057347403893,-1.0628009072229245
2010-02-22,38.832618713378906,39.08432516000472,38.67638529905279,39.066965523856034,72055000,QQQ,0,-0.24661164674612945,0.8796598552130783,-0.27294597598954945,0.7079043824627292,0.5376691281666469,-1.1813594785955623
