date,close,high,low,open,volume,tic,day
2010-01-04,51.366554260253906,51.414726561268196,50.796529146808574,50.81258658048001,42863900,IWM,0
2010-01-05,51.18992614746094,51.52712613319541,50.97315844698307,51.286270750609276,55523100,IWM,1
2010-01-06,51.14176940917969,51.46290897691032,51.01331296955882,51.18993865988558,59708600,IWM,2
2010-01-07,51.51912307739258,51.559268214548005,50.69218470440942,51.17389878647885,56123500,IWM,3
2010-01-08,51.80009460449219,51.80009460449219,51.22204228448946,51.334441261638815,48811500,IWM,4
2010-01-11,51.59136199951172,52.08912719505185,51.39064864639768,52.00884307886332,51638900,IWM,0
2010-01-12,51.02936553955078,51.51107943915975,50.7885070584249,51.27022095803386,45854900,IWM,1
2010-01-13,51.687713623046875,51.79208851337127,50.76443380169584,51.20600267822403,39501900,IWM,2
2010-01-14,51.880401611328125,52.04096988051461,51.39868455319499,51.495029189878984,41859800,IWM,3
2010-01-15,51.1257209777832,52.024919276176576,50.796551101852444,51.90449000291064,68725100,IWM,4
2010-01-19,52.065040588378906,52.08110108617576,51.318386698240346,51.318386698240346,46839000,IWM,1
2010-01-20,51.31037902832031,51.70377868262594,50.732323393469194,51.695748430673135,62485000,IWM,2
2010-01-21,50.46736526489258,51.76798997930629,50.29073653666889,51.35050278072569,98323100,IWM,3
2010-01-22,49.56016540527344,50.62796244439843,49.11859642157622,50.387103850887,83757000,IWM,4
2010-01-25,49.616336822509766,49.89733733488917,49.238997827526276,49.84113784494179,62298700,IWM,0
2010-01-26,49.1265983581543,49.800995335489105,49.08645630075253,49.43168350716456,58213200,IWM,1
2010-01-27,49.648460388183594,49.728744512844486,48.74123507882892,48.90983357820262,72565800,IWM,2
2010-01-28,48.79745101928711,49.768906405784286,48.347854869480884,49.74481871015604,93814200,IWM,3
2010-01-29,48.25951385498047,49.5280205158856,48.1471148795051,48.9981374439,79325600,IWM,4
2010-02-01,48.82954025268555,48.92588179665377,48.2996571668966,48.48431306893673,60731800,IWM,0
2010-02-02,49.367454528808594,49.4236540190824,48.66896989944701,48.917855543975655,71047700,IWM,1
2010-02-03,49.038291931152344,49.47986073174745,48.64489237917013,49.13463349102112,50241000,IWM,2
2010-02-04,47.40047073364258,48.71714996580326,47.36032867171436,48.701092528503374,99167300,IWM,3
2010-02-05,47.58513259887695,47.63330491678004,46.565508173086975,47.5048454023718,106752200,IWM,4
2010-02-08,47.11144256591797,47.8500662992446,47.063270254449414,47.43258518375571,61579200,IWM,0
2010-02-09,47.76176452636719,48.11501902641549,47.16765148352219,47.67345013569421,91986700,IWM,1
2010-02-10,47.874141693115234,47.99456784689897,47.1194576537782,47.61722888987264,55715500,IWM,2
2010-02-11,48.63685607910156,48.66896788461255,47.36834635082469,47.73765814666135,51969700,IWM,3
2010-02-12,48.9901237487793,49.05435043989051,48.01867169306757,48.17121276426953,65909800,IWM,4
2010-02-16,49.81704330444336,49.86521560175709,49.038277738378206,49.5039310285093,50057600,IWM,1
2010-02-17,50.154239654541016,50.26663861088345,49.76887049166333,50.065925313802865,50459400,IWM,2
2010-02-18,50.563716888427734,50.5797743271599,49.97763415659847,50.15426292000901,43072800,IWM,3
2010-02-19,50.62795639038086,50.884869334270476,50.266671605959864,50.371043446491235,56840800,IWM,4
2010-02-22,50.78047180175781,50.94104307611001,50.59581590817759,50.91695539423967,45344900,IWM,0
2010-02-23,50.18637466430664,50.78048764598876,50.04186384120678,50.708230703117195,58965400,IWM,1
2010-02-24,50.61188888549805,50.86077152766911,50.21848929564873,50.37103343132082,50476000,IWM,2
2010-02-25,50.62795639038086,50.67612565320774,49.760872907770484,49.92144426336246,51949700,IWM,3
2010-02-26,50.419193267822266,50.74836304166917,50.14622298736562,50.708220983910806,60093900,IWM,4
