date,close,high,low,open,volume,tic,day,ret_1d,ret_5d,sma_ratio,vol_20d,vol_ratio,rsi_14,macd_hist,bb_width,obv_ret,adx,adx_di_diff
2010-02-22,50.78047561645508,50.941046902869616,50.59581970900326,50.91695921918978,45344900,IWM,0,0.2242456057761286,1.5253615674935834,1.3288438084310759,0.621918638816597,-0.8991447464455073,0.26403865954143285,2.4643924664749006,0.7158661743168954,0.05811828558596058,1.8746697508424675,0.31220642920287667
2010-02-23,50.186370849609375,50.780483786132606,50.04186003749388,50.708226848753334,58965400,IWM,1,-1.154847881160833,0.1971936690931012,0.7805752190151237,0.6769063999673508,-0.3206319249571526,-0.24295425846115978,2.208617194317797,0.7618164722485261,-0.09340578254698295,1.5668692495513885,-0.06396961778877003
2010-02-24,50.61188125610352,50.86076386075723,50.21848172555649,50.371025838233585,50476000,IWM,2,0.7365322219593304,0.27519109673346265,1.0873627630822738,0.6543714123582967,-0.6657179430640264,0.03732027358562252,2.0751873083919774,0.8659337020831384,0.07535269844779041,1.2949765074380757,-0.019513407679142506
2010-02-25,50.6279182434082,50.67608746994068,49.76083541412481,49.921406648730056,51949700,IWM,3,-0.02850389692372,-0.08290698262047135,1.057158914348782,0.6248867572047394,-0.5682492011592855,0.04788939968232559,1.9137023555183044,0.9490205831258113,0.051739695129412254,1.0378742810393051,-0.32018338637982513
2010-02-26,50.419193267822266,50.74836304166917,50.14622298736562,50.708220983910806,60093900,IWM,4,-0.44464594793755896,-0.32876145686479347,0.8012964935956857,0.5136058927859455,-0.14856349407052422,-0.14302307801125025,1.6512278601832557,1.0015154387242264,-0.08066735111231495,0.7850343321525489,-0.26624938373931273
2010-03-01,51.591365814208984,51.63953506242668,50.78850927974642,50.78850927974642,70967800,IWM,0,2.1209831856311583,0.5872360887028338,1.6751996033002576,0.6007234960145471,0.35291001913358133,0.5938627611752637,1.7972868164184101,1.1551056366876946,0.08163154541211481,0.652725582150369,0.29796146556898895
2010-03-02,51.984771728515625,52.30591440054455,51.703774187472945,51.78405832415842,55605300,IWM,1,0.656559595283512,1.4929589349291201,1.8740635317638963,0.5818456170844516,-0.32038444063011184,0.797597213136508,1.9485817934344978,1.363342411664039,0.037665344249936644,0.6215447516393816,0.689555314081961
2010-03-03,52.28182220458984,52.57887407985836,52.00884882902605,52.241677079414366,56207500,IWM,2,0.47741073810699824,1.363505071636914,1.9991086016363937,0.5619162386794602,-0.26327201440085574,0.945425677357468,2.042902002347747,1.591639143498085,0.02794119683787107,0.6265613100355366,0.8211370799257165
2010-03-04,52.418304443359375,52.48253419182693,52.08110745183363,52.2978751963042,47174200,IWM,3,0.18648986365068104,1.4714928073051277,1.9634231256017478,0.5271317554538096,-0.6663397127411825,1.0134143233542423,2.0381922869868303,1.7816915633821493,0.01454962339588224,0.6312195428319658,0.7853434568190317
2010-03-05,53.4860954284668,53.56637954298248,52.58689742014932,52.75549589821785,52293900,IWM,4,1.8512189693818937,2.6324637253243663,2.6059519401258044,0.02420670939838888,-0.34043457980304365,1.4809505375392586,2.2574177981119274,1.913476324879468,0.013889293168856044,0.7569385174552834,1.3928510846141353
